pos	ind	depth
1	xaa	28
1	xab	35
1	xac	26
1	xad	34
1	ST-1.1	18
1	ST-1.2	37
1	ST-1.3	34
1	ST-2.1	26
1	ST-2.2	21
2	xaa	28
2	xab	35
2	xac	26
2	xad	34
2	ST-1.1	18
2	ST-1.2	37
2	ST-1.3	34
2	ST-2.1	26
2	ST-2.2	21
3	xaa	28
3	xab	34
3	xac	25
3	xad	35
3	ST-1.1	18
3	ST-1.2	37
3	ST-1.3	35
3	ST-2.1	26
3	ST-2.2	21
4	xaa	29
4	xab	34
4	xac	23
4	xad	36
4	ST-1.1	18
4	ST-1.2	37
4	ST-1.3	35
4	ST-2.1	26
4	ST-2.2	21
5	xaa	29
5	xab	34
5	xac	23
5	xad	36
5	ST-1.1	18
5	ST-1.2	37
5	ST-1.3	35
5	ST-2.1	26
5	ST-2.2	21
6	xaa	29
6	xab	34
6	xac	23
6	xad	37
6	ST-1.1	18
6	ST-1.2	37
6	ST-1.3	35
6	ST-2.1	26
6	ST-2.2	21
7	xaa	29
7	xab	34
7	xac	22
7	xad	37
7	ST-1.1	18
7	ST-1.2	37
7	ST-1.3	35
7	ST-2.1	26
7	ST-2.2	21
8	xaa	29
8	xab	33
8	xac	20
8	xad	37
8	ST-1.1	18
8	ST-1.2	37
8	ST-1.3	35
8	ST-2.1	26
8	ST-2.2	21
9	xaa	30
9	xab	33
9	xac	20
9	xad	37
9	ST-1.1	18
9	ST-1.2	38
9	ST-1.3	38
9	ST-2.1	26
9	ST-2.2	21
10	xaa	30
10	xab	33
10	xac	20
10	xad	37
10	ST-1.1	18
10	ST-1.2	39
10	ST-1.3	39
10	ST-2.1	25
10	ST-2.2	22
11	xaa	30
11	xab	33
11	xac	20
11	xad	37
11	ST-1.1	18
11	ST-1.2	42
11	ST-1.3	41
11	ST-2.1	25
11	ST-2.2	22
12	xaa	31
12	xab	33
12	xac	20
12	xad	37
12	ST-1.1	18
12	ST-1.2	42
12	ST-1.3	41
12	ST-2.1	25
12	ST-2.2	22
13	xaa	31
13	xab	33
13	xac	20
13	xad	37
13	ST-1.1	18
13	ST-1.2	42
13	ST-1.3	41
13	ST-2.1	25
13	ST-2.2	22
14	xaa	31
14	xab	33
14	xac	20
14	xad	37
14	ST-1.1	18
14	ST-1.2	42
14	ST-1.3	41
14	ST-2.1	25
14	ST-2.2	22
15	xaa	31
15	xab	33
15	xac	19
15	xad	37
15	ST-1.1	18
15	ST-1.2	43
15	ST-1.3	42
15	ST-2.1	24
15	ST-2.2	22
16	xaa	31
16	xab	33
16	xac	19
16	xad	37
16	ST-1.1	18
16	ST-1.2	43
16	ST-1.3	42
16	ST-2.1	24
16	ST-2.2	21
17	xaa	31
17	xab	33
17	xac	20
17	xad	37
17	ST-1.1	18
17	ST-1.2	43
17	ST-1.3	42
17	ST-2.1	24
17	ST-2.2	21
18	xaa	32
18	xab	33
18	xac	20
18	xad	36
18	ST-1.1	18
18	ST-1.2	43
18	ST-1.3	42
18	ST-2.1	24
18	ST-2.2	20
19	xaa	32
19	xab	33
19	xac	18
19	xad	36
19	ST-1.1	18
19	ST-1.2	43
19	ST-1.3	43
19	ST-2.1	24
19	ST-2.2	20
20	xaa	31
20	xab	33
20	xac	19
20	xad	36
20	ST-1.1	17
20	ST-1.2	43
20	ST-1.3	43
20	ST-2.1	24
20	ST-2.2	20
21	xaa	31
21	xab	30
21	xac	19
21	xad	37
21	ST-1.1	17
21	ST-1.2	44
21	ST-1.3	43
21	ST-2.1	25
21	ST-2.2	20
22	xaa	30
22	xab	30
22	xac	19
22	xad	37
22	ST-1.1	17
22	ST-1.2	44
22	ST-1.3	43
22	ST-2.1	25
22	ST-2.2	20
23	xaa	30
23	xab	29
23	xac	18
23	xad	37
23	ST-1.1	17
23	ST-1.2	45
23	ST-1.3	43
23	ST-2.1	24
23	ST-2.2	20
24	xaa	30
24	xab	31
24	xac	18
24	xad	36
24	ST-1.1	17
24	ST-1.2	45
24	ST-1.3	44
24	ST-2.1	24
24	ST-2.2	20
25	xaa	30
25	xab	30
25	xac	18
25	xad	36
25	ST-1.1	17
25	ST-1.2	46
25	ST-1.3	44
25	ST-2.1	24
25	ST-2.2	20
26	xaa	30
